2814020002 5.071e+14 1621.06 288.941 288.907  103.257 0.128408 0.615849 1.48701 11.3717 0.0253266 11.0908 0.0247562 8.32279 0.0186192 5.61102 450
2815603162 3.721e+11 146.21 12.5532 12.5536  10.7187 0.749098 0.964067 1.9139 0.0841889 0.00601349 0.0836856 0.00643736 0.0797809 0.00664841 11.6469 15
2812780217 1.051e+11 95.923 7.49614 7.49715  11.8531 0.931454 0.468346 2.3334 0.499962 0.0238077 0.488336 0.0244168 0.421656 0.0221924 12.7946 22
2814226685 7.5e+10 85.729 5.3743 5.37516  15.86 1.81501 0.351961 2.95005 0.0708247 0.0177062 0.0695925 0.0231975 0.0303108 0.0151554 15.9491 5
2820394276 5.765e+10 78.529 11.5892 11.589  6.49797 0.198663 0.476135 1.67404 0.331821 0.0255247 0.323562 0.0269635 0.300153 0.0272866 6.77616 14
2809860925 3.905e+10 68.968 3.48431 3.48522  1.4775 2.67376 11.8425 1.67558 0.0837765 0.0209441 0.0820579 0.0273526 0.0665432 0.0332716 19.7887 5
